idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,3.0,NaN,0.4188991191900761,0.6393401010457412,0.7863452169737181,0.9890800707288576
2,10.0,NaN,0.004107759335343423,0.003218085197519618,0.010232982620337611,0.006782428787974832
3,7.0,NaN,0.11944580478416555,0.23695692188271186,0.21095310626828848,0.37368951160608554
4,0.0,NaN,0.49038646460776864,0.8885719751353287,0.7469752078468558,1.000003894666573
5,2.0,NaN,0.4552471452020139,0.6313081752338225,0.7023030362953105,0.9872067491630109
6,8.0,NaN,0.055064655494323766,0.10938083633479344,0.12222090775396388,0.18946813490149328
7,5.0,NaN,0.3061535376123831,0.4740955385577281,0.5007511306412508,0.6966960614918917
8,1.0,NaN,0.4889782663914668,0.7767144117913118,0.7988193093369635,0.9962390739664223
9,4.0,NaN,0.3622122171682965,0.6193320715319068,0.647780096502974,0.902759477495036
10,15.707,NaN,-0.001980699802309258,0.0,0.0005581001828413798,0.0
11,6.0,NaN,0.20175539633925924,0.34527367374323625,0.3513196807479025,0.537877775958793
