times,expectation_vals
0.01,9.99933337110914e-5
0.02,0.00039868525535552847
0.03,0.0008915257150859551
0.04,0.0015790687006482737
0.05,0.0024630203048807953
0.06,0.0035407320800032727
0.07,0.004808520822153205
0.08,0.006261428928602658
0.09,0.007892983442367644
0.1,0.009694975367495137
0.11,0.01166029237506822
0.12,0.013785510488817718
0.13,0.016066692863489565
0.14,0.018498895308051808
0.15,0.021076084792902898
0.16,0.02379104438453856
0.17,0.026635276649387404
0.18,0.029598919597387693
0.19,0.03267068997472898
0.2,0.035837875201482954
