time,expectation,terms_nbr
0.01,0.0,419.0
0.02,0.0,419.0
0.03,0.0,419.0
0.04,0.0,419.0
0.05,0.0,419.0
0.06,0.0,3125.0
0.07,0.0,3142.0
0.08,0.0,3142.0
0.09,0.0,3142.0
0.1,0.0,3142.0
0.11,0.0,3142.0
0.12,0.0,3142.0
0.13,0.0,3142.0
0.14,0.0,3142.0
0.15,0.0,3142.0
0.16,-3.14446670010685e-5,13872.0
0.17,-3.7289391743800886e-5,14205.0
0.18,-7.864902998813345e-5,14243.0
0.19,-0.00015726352404893732,14243.0
0.2,-0.00024937924769868625,14244.0
0.21,-0.00035584970264664534,14244.0
0.22,-0.00047967182904390154,14244.0
0.23,-0.0006241701149299022,14244.0
0.24,-0.0007909676595784167,14217.0
0.25,-0.0009813311009645594,14198.0
0.26,-0.001195582704188661,14265.0
0.27,-0.0014354257578854425,14262.0
0.28,-0.0017004503491361116,14245.0
0.29,-0.0019898152682992836,41975.0
0.3,-0.002304266929538509,44116.0
