time,expectation,terms_nbr
0.01,0.0,5042.0
0.02,0.0,5042.0
0.03,0.0,5042.0
0.04,0.0,10306.0
0.05,0.0,10746.0
0.06,0.0,146082.0
0.07,0.0,146490.0
0.08,0.0,146500.0
0.09,0.0,146500.0
0.1,0.0,146500.0
0.11,0.0,146512.0
0.12,-6.203523522984831e-5,168510.0
0.13,-0.00012338048049721754,179570.0
0.14,-0.00019828312737754574,405796.0
0.15,-0.00028666667858254105,459763.0
0.16,-0.0003878572566214312,460294.0
0.17,-0.0005098911373371776,460409.0
0.18,-0.0006566630054909526,508610.0
0.19,-0.0008267529559675501,2.379537e6
0.2,-0.0010229981481761966,2.83113e6
0.21,-0.001269720339256734,2.849412e6
0.22,-0.0015731969848125425,2.881944e6
0.23,-0.0019292755257315115,2.913664e6
0.24,-0.0023308679014736075,3.051833e6
0.25,-0.002773743861157416,3.128329e6
0.26,-0.0032501839589796477,3.337064e6
0.27,-0.0037521914839849734,3.922334e6
0.28,-0.00427189797092418,4.095043e6
0.29,-0.004801884631572628,4.140345e6
0.3,-0.005335503713550058,4.241662e6
